uranium,FIPS,county,homes,log_uranium,county_id
0.502054,27001,Aitkin,4.0,-0.6890475953544999,1
0.428565,27003,Anoka,52.0,-0.8473128604997048,2
0.892741,27005,Becker,3.0,-0.11345877376814012,3
0.552472,27007,Beltrami,7.0,-0.5933525256074713,4
0.866849,27009,Benton,4.0,-0.14289048115302844,5
1.47264,27011,Big Stone,3.0,0.38705670842480927,6
1.31208,27013,Blue Earth,14.0,0.2716136642727164,7
1.31993,27015,Brown,4.0,0.277578704889093,8
0.717261,27017,Carlton,10.0,-0.3323154878841331,9
1.10061,27019,Carver,6.0,0.09586457155536092,10
0.544319,27021,Cass,5.0,-0.6082198069309426,11
1.3148,27023,Chippewa,4.0,0.27368456280792725,12
0.479352,27025,Chisago,6.0,-0.7353200871511567,13
1.41027,27027,Clay,14.0,0.34378117542003134,14
0.941896,27029,Clearwater,4.0,-0.05986041389770528,15
0.603508,27031,Cook,2.0,-0.5049959825257828,16
1.40433,27033,Cottonwood,4.0,0.33956032072044606,17
0.530789,27035,Crow Wing,12.0,-0.6333907001751405,18
0.976144,27037,Dakota,63.0,-0.024145162468538463,19
1.30194,27039,Dodge,3.0,0.26385545977521707,20
1.16849,27041,Douglas,9.0,0.15571231697983925,21
1.34316,27043,Faribault,6.0,0.2950250467070394,22
1.51424,27045,Fillmore,2.0,0.41491366292777554,23
1.25133,27047,Freeborn,9.0,0.22420698566740638,24
1.21727,27049,Goodhue,14.0,0.19661064642423215,25
1.47959,27051,Grant,0.0,0.3917650223699216,26
0.907991,27053,Hennepin,105.0,-0.09652081232424005,27
1.65455,27055,Houston,6.0,0.5035290685333527,28
0.66992,27057,Hubbard,5.0,-0.4005969767113039,29
0.471483,27059,Isanti,3.0,-0.7518722327017873,30
0.515124,27061,Itasca,11.0,-0.6633476306014291,31
1.36209,27063,Jackson,5.0,0.30902028483933436,32
0.948014,27065,Kanabec,4.0,-0.053386008903670616,33
1.11598,27067,Kandiyohi,4.0,0.1097329426515801,34
0.992227,27069,Kittson,3.0,-0.007803367229841645,35
0.414025,27071,Koochiching,7.0,-0.8818289205065825,36
1.36483,27073,Lac qui Parle,2.0,0.31102987875636656,37
0.500776,27075,Lake,9.0,-0.6915963836672911,38
0.505752,27077,Lake of the Woods,4.0,-0.6817088484191157,39
1.21464,27079,Le Sueur,5.0,0.19444773659179515,40
1.56034,27081,Lincoln,4.0,0.444903746232023,41
1.48399,27083,Lyon,8.0,0.39473440617801014,42
1.15076,27085,McLeod,13.0,0.1404225936622486,43
1.16137,27087,Mahnomen,1.0,0.14960034272844025,44
1.01386,27089,Marshall,9.0,0.013764828575713341,45
1.18041,27091,Martin,7.0,0.16586183575526953,46
1.02424,27093,Meeker,5.0,0.023950874155786547,47
0.810536,27095,Mille Lacs,2.0,-0.21005952176628628,48
0.910987,27097,Morrison,9.0,-0.09322665185692748,49
1.29814,27099,Mower,13.0,0.26093247070906767,50
1.49011,27101,Murray,1.0,0.39884994273575514,51
1.28152,27103,Nicollet,4.0,0.24804687341109097,52
1.49998,27105,Nobles,3.0,0.40545177468594146,53
1.30372,27107,Norman,3.0,0.265221716521598,54
1.27526,27109,Olmsted,23.0,0.2431500793898401,55
0.814867,27111,Otter Tail,8.0,-0.20473036924229032,56
0.928646,27113,Pennington,3.0,-0.07402766768590431,57
0.849343,27115,Pine,6.0,-0.16329216954729414,58
1.61382,27117,Pipestone,4.0,0.4786040394649064,59
1.30488,27119,Polk,4.0,0.2661110825236379,60
1.32465,27121,Pope,2.0,0.2811482736007839,61
0.658327,27123,Ramsey,32.0,-0.418053510614464,62
1.03105,27125,Red Lake,0.0,0.030577700464138186,63
1.44242,27127,Redwood,5.0,0.36632225859009826,64
1.46313,27129,Renville,3.0,0.3805779766002149,65
1.21306,27131,Rice,11.0,0.19314609287710252,66
1.69558,27133,Rock,2.0,0.5280248651920556,67
0.808928,27135,Roseau,14.0,-0.21204536464817642,68
0.622088,27137,St. Louis,116.0,-0.47467371715050316,69
1.06515,27139,Scott,13.0,0.06311563431407531,70
0.504879,27141,Sherburne,8.0,-0.6834364823767883,71
1.26771,27143,Sibley,4.0,0.23721212323308002,72
1.12344,27145,Stearns,25.0,0.11639540667778776,73
1.30971,27147,Steele,10.0,0.2698057386604077,74
1.60124,27149,Stevens,2.0,0.47077832908830686,75
1.37167,27151,Swift,4.0,0.31602897559162796,76
0.95424,27153,Todd,3.0,-0.04684006684581817,77
1.64476,27155,Traverse,4.0,0.49759447691684777,78
1.16193,27157,Wabasha,7.0,0.15008241565130426,79
0.510671,27159,Wadena,5.0,-0.6720297317460263,80
1.23666,27161,Waseca,4.0,0.21241419710112402,81
0.862876,27163,Washington,46.0,-0.14748428304275582,82
1.2011,27165,Watonwan,3.0,0.1832378035783076,83
1.26622,27167,Wilkin,1.0,0.2360360842961474,84
1.58917,27169,Winona,13.0,0.46321186735752345,85
0.913909,27171,Wright,13.0,-0.09002427484788668,86
1.42659,27173,Yellow Medicine,2.0,0.35528698116388363,87
